; S-parameter data file sp_sweep.out.
; Sat May 18 12:17:37 2024
; Number of ports is 1
; FundFreq: 1.00000000e+09 
; Small Signal Analysis: psp 
; SweepType: abs 
; portharmsvec= [ 1 ] 

reference resistance 
		 port1 = 50.000000 

format freq:  s1:1(db,rad) 	 

9.90000000e+08:         -14.938,        1.32595     
9.90010000e+08:        -14.9431,        1.32498     
9.90020000e+08:        -14.9482,        1.32401     
9.90030000e+08:        -14.9533,        1.32304     
9.90040000e+08:        -14.9584,        1.32206     
9.90050000e+08:        -14.9635,        1.32109     
9.90060000e+08:        -14.9686,        1.32011     
9.90070000e+08:        -14.9738,        1.31914     
9.90080000e+08:        -14.9789,        1.31816     
9.90090000e+08:         -14.984,        1.31718     
9.90100000e+08:        -14.9891,         1.3162     
9.90110000e+08:        -14.9942,        1.31522     
9.90120000e+08:        -14.9994,        1.31424     
9.90130000e+08:        -15.0045,        1.31326     
9.90140000e+08:        -15.0096,        1.31227     
9.90150000e+08:        -15.0148,        1.31129     
9.90160000e+08:        -15.0199,         1.3103     
9.90170000e+08:         -15.025,        1.30931     
9.90180000e+08:        -15.0302,        1.30833     
9.90190000e+08:        -15.0353,        1.30734     
9.90200000e+08:        -15.0405,        1.30635     
9.90210000e+08:        -15.0456,        1.30536     
9.90220000e+08:        -15.0508,        1.30436     
9.90230000e+08:        -15.0559,        1.30337     
9.90240000e+08:        -15.0611,        1.30238     
9.90250000e+08:        -15.0662,        1.30138     
9.90260000e+08:        -15.0714,        1.30038     
9.90270000e+08:        -15.0765,        1.29939     
9.90280000e+08:        -15.0817,        1.29839     
9.90290000e+08:        -15.0869,        1.29739     
9.90300000e+08:         -15.092,        1.29639     
9.90310000e+08:        -15.0972,        1.29539     
9.90320000e+08:        -15.1024,        1.29438     
9.90330000e+08:        -15.1076,        1.29338     
9.90340000e+08:        -15.1127,        1.29238     
9.90350000e+08:        -15.1179,        1.29137     
9.90360000e+08:        -15.1231,        1.29036     
9.90370000e+08:        -15.1283,        1.28936     
9.90380000e+08:        -15.1335,        1.28835     
9.90390000e+08:        -15.1386,        1.28734     
9.90400000e+08:        -15.1438,        1.28633     
9.90410000e+08:         -15.149,        1.28531     
9.90420000e+08:        -15.1542,         1.2843     
9.90430000e+08:        -15.1594,        1.28329     
9.90440000e+08:        -15.1646,        1.28227     
9.90450000e+08:        -15.1698,        1.28125     
9.90460000e+08:         -15.175,        1.28024     
9.90470000e+08:        -15.1802,        1.27922     
9.90480000e+08:        -15.1854,         1.2782     
9.90490000e+08:        -15.1906,        1.27718     
9.90500000e+08:        -15.1958,        1.27616     
9.90510000e+08:        -15.2011,        1.27513     
9.90520000e+08:        -15.2063,        1.27411     
9.90530000e+08:        -15.2115,        1.27308     
9.90540000e+08:        -15.2167,        1.27206     
9.90550000e+08:        -15.2219,        1.27103     
9.90560000e+08:        -15.2272,           1.27     
9.90570000e+08:        -15.2324,        1.26897     
9.90580000e+08:        -15.2376,        1.26794     
9.90590000e+08:        -15.2428,        1.26691     
9.90600000e+08:        -15.2481,        1.26588     
9.90610000e+08:        -15.2533,        1.26484     
9.90620000e+08:        -15.2585,        1.26381     
9.90630000e+08:        -15.2638,        1.26277     
9.90640000e+08:         -15.269,        1.26174     
9.90650000e+08:        -15.2743,         1.2607     
9.90660000e+08:        -15.2795,        1.25966     
9.90670000e+08:        -15.2847,        1.25862     
9.90680000e+08:          -15.29,        1.25758     
9.90690000e+08:        -15.2952,        1.25653     
9.90700000e+08:        -15.3005,        1.25549     
9.90710000e+08:        -15.3057,        1.25445     
9.90720000e+08:         -15.311,         1.2534     
9.90730000e+08:        -15.3163,        1.25235     
9.90740000e+08:        -15.3215,         1.2513     
9.90750000e+08:        -15.3268,        1.25026     
9.90760000e+08:         -15.332,         1.2492     
9.90770000e+08:        -15.3373,        1.24815     
9.90780000e+08:        -15.3426,         1.2471     
9.90790000e+08:        -15.3478,        1.24605     
9.90800000e+08:        -15.3531,        1.24499     
9.90810000e+08:        -15.3584,        1.24394     
9.90820000e+08:        -15.3636,        1.24288     
9.90830000e+08:        -15.3689,        1.24182     
9.90840000e+08:        -15.3742,        1.24076     
9.90850000e+08:        -15.3795,         1.2397     
9.90860000e+08:        -15.3847,        1.23864     
9.90870000e+08:          -15.39,        1.23758     
9.90880000e+08:        -15.3953,        1.23651     
9.90890000e+08:        -15.4006,        1.23545     
9.90900000e+08:        -15.4059,        1.23438     
9.90910000e+08:        -15.4112,        1.23331     
9.90920000e+08:        -15.4165,        1.23224     
9.90930000e+08:        -15.4218,        1.23117     
9.90940000e+08:         -15.427,         1.2301     
9.90950000e+08:        -15.4323,        1.22903     
9.90960000e+08:        -15.4376,        1.22796     
9.90970000e+08:        -15.4429,        1.22688     
9.90980000e+08:        -15.4482,        1.22581     
9.90990000e+08:        -15.4535,        1.22473     
9.91000000e+08:        -15.4588,        1.22365     
9.91010000e+08:        -15.4641,        1.22257     
9.91020000e+08:        -15.4695,        1.22149     
9.91030000e+08:        -15.4748,        1.22041     
9.91040000e+08:        -15.4801,        1.21933     
9.91050000e+08:        -15.4854,        1.21825     
9.91060000e+08:        -15.4907,        1.21716     
9.91070000e+08:         -15.496,        1.21608     
9.91080000e+08:        -15.5013,        1.21499     
9.91090000e+08:        -15.5066,         1.2139     
9.91100000e+08:         -15.512,        1.21281     
9.91110000e+08:        -15.5173,        1.21172     
9.91120000e+08:        -15.5226,        1.21063     
9.91130000e+08:        -15.5279,        1.20954     
9.91140000e+08:        -15.5333,        1.20844     
9.91150000e+08:        -15.5386,        1.20735     
9.91160000e+08:        -15.5439,        1.20625     
9.91170000e+08:        -15.5492,        1.20515     
9.91180000e+08:        -15.5546,        1.20405     
9.91190000e+08:        -15.5599,        1.20295     
9.91200000e+08:        -15.5652,        1.20185     
9.91210000e+08:        -15.5706,        1.20075     
9.91220000e+08:        -15.5759,        1.19965     
9.91230000e+08:        -15.5812,        1.19854     
9.91240000e+08:        -15.5866,        1.19743     
9.91250000e+08:        -15.5919,        1.19633     
9.91260000e+08:        -15.5972,        1.19522     
9.91270000e+08:        -15.6026,        1.19411     
9.91280000e+08:        -15.6079,          1.193     
9.91290000e+08:        -15.6133,        1.19189     
9.91300000e+08:        -15.6186,        1.19077     
9.91310000e+08:         -15.624,        1.18966     
9.91320000e+08:        -15.6293,        1.18854     
9.91330000e+08:        -15.6347,        1.18742     
9.91340000e+08:          -15.64,        1.18631     
9.91350000e+08:        -15.6454,        1.18519     
9.91360000e+08:        -15.6507,        1.18407     
9.91370000e+08:        -15.6561,        1.18294     
9.91380000e+08:        -15.6614,        1.18182     
9.91390000e+08:        -15.6668,         1.1807     
9.91400000e+08:        -15.6721,        1.17957     
9.91410000e+08:        -15.6775,        1.17844     
9.91420000e+08:        -15.6829,        1.17732     
9.91430000e+08:        -15.6882,        1.17619     
9.91440000e+08:        -15.6936,        1.17506     
9.91450000e+08:        -15.6989,        1.17393     
9.91460000e+08:        -15.7043,        1.17279     
9.91470000e+08:        -15.7097,        1.17166     
9.91480000e+08:         -15.715,        1.17052     
9.91490000e+08:        -15.7204,        1.16939     
9.91500000e+08:        -15.7258,        1.16825     
9.91510000e+08:        -15.7311,        1.16711     
9.91520000e+08:        -15.7365,        1.16597     
9.91530000e+08:        -15.7419,        1.16483     
