db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) Y
540000000,-2.903438182390788
540400000,-2.947982696635008
540800000,-2.993245909171734
541200000,-3.039115356945916
541600000,-3.085459521383029
542000000,-3.132126651066831
542400000,-3.178943798484833
542800000,-3.2257161502457
543200000,-3.272226738403337
543600000,-3.31823662615137
544000000,-3.363485662885037
544400000,-3.407693900040367
544800000,-3.450563748795546
545200000,-3.49178294239707
545600000,-3.531028338690574
546000000,-3.567970562163765
546400000,-3.60227944011752
546800000,-3.633630136254801
547200000,-3.661709830029309
547600000,-3.686224735718933
548000000,-3.706907206524572
548400000,-3.723522631626009
548800000,-3.735875813427846
549200000,-3.743816512542069
549600000,-3.747243871913514
550000000,-3.746109478971395
550400000,-3.740418893121059
550800000,-3.730231549951014
551200000,-3.715659045842511
551600000,-3.696861898724268
552000000,-3.674044964026912
552400000,-3.647451752167706
552800000,-3.617357939938119
553200000,-3.584064390451672
553600000,-3.547889995055256
554000000,-3.509164628475683
554400000,-3.468222469897986
554800000,-3.425395893089056
555200000,-3.381010073692996
555600000,-3.335378406561346
556000000,-3.288798774600731
556400000,-3.241550666088431
556800000,-3.19389310144865
557200000,-3.146063303717732
557600000,-3.098276029077897
558000000,-3.050723464001067
558400000,-3.003575592430512
558800000,-2.956980938597665
559200000,-2.911067597086862
559600000,-2.86594447032094
560000000,-2.821702643627762
