db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) Y
540000000,-2.802615621763812
540400000,-2.865890952092742
540800000,-2.934779869009327
541200000,-3.009859817203178
541600000,-3.091761432552071
542000000,-3.181167759691299
542400000,-3.2788101929638
542800000,-3.385459479342581
543200000,-3.501909484512935
543600000,-3.628950604675421
544000000,-3.767328701357252
544400000,-3.917684288083029
544800000,-4.080465551400991
545200000,-4.255807980469831
545600000,-4.443373572226345
546000000,-4.642144942599113
546400000,-4.850176051693347
546800000,-5.064314136349138
547200000,-5.279929359743049
547600000,-5.490720272336407
548000000,-5.688699295910831
548400000,-5.86448688519418
548800000,-6.008026064716356
549200000,-6.109737317109087
549600000,-6.161960809671564
550000000,-6.160337723911226
550400000,-6.104689331892418
550800000,-5.999069282877048
551200000,-5.85096700318595
551600000,-5.669956331115728
552000000,-5.46622986878993
552400000,-5.249389308752178
552800000,-5.027671519470037
553200000,-4.80760835937356
553600000,-4.594014548091742
554000000,-4.390172725506917
554400000,-4.198105972728494
554800000,-4.018864221946512
555200000,-3.852784003054556
555600000,-3.699704493061843
556000000,-3.559136985119595
556400000,-3.430392040807792
556800000,-3.312671461786596
557200000,-3.205132545975923
557600000,-3.106931381158903
558000000,-3.017250753268268
558400000,-2.935317052702593
558800000,-2.860409501864492
559200000,-2.791864157422139
559600000,-2.729074460613042
560000000,-2.67148959384804
