db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) Y
540000000,-2.920635540275635
540400000,-2.986536245193197
540800000,-3.056348012128034
541200000,-3.130226621452723
541600000,-3.208303562421159
542000000,-3.290675525804251
542400000,-3.377391477971574
542800000,-3.468437026210547
543200000,-3.563715863366052
543600000,-3.663028231006884
544000000,-3.766046592793487
544400000,-3.872289094876999
544800000,-3.981091936737982
545200000,-4.091582499639862
545600000,-4.20265596690868
546000000,-4.312959153536687
546400000,-4.420886194922461
546800000,-4.524591376413292
547200000,-4.62202436496991
547600000,-4.710992023912375
548000000,-4.789248502696066
548400000,-4.854611293245315
548800000,-4.905095789671611
549200000,-4.939055531928819
549600000,-4.955311220130227
550000000,-4.953250333418588
550400000,-4.932881828252496
550800000,-4.894836846217437
551200000,-4.840315217222104
551600000,-4.770986468576318
552000000,-4.68886068335677
552400000,-4.596147407714422
552800000,-4.495119730259216
553200000,-4.387996652008236
553600000,-4.276851504491002
554000000,-4.163548946442617
554400000,-4.049708967482358
554800000,-3.93669374130726
555200000,-3.825612018636805
555600000,-3.717335688931204
556000000,-3.612523758383012
556400000,-3.511649930070881
556800000,-3.415030972419024
557200000,-3.322853970103174
557600000,-3.235201295653618
558000000,-3.152072703833497
558400000,-3.073404349245232
558800000,-2.999084789339689
559200000,-2.928968191969397
559600000,-2.862885048100501
560000000,-2.800650720418135
