db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "psp")) Y
540000000,-3.186678637275027
540400000,-3.258306774101119
540800000,-3.335197670540455
541200000,-3.417729434134299
541600000,-3.506283916747632
542000000,-3.601236603759757
542400000,-3.70294247527485
542800000,-3.811716733386016
543200000,-3.927809113600125
543600000,-4.051370370414253
544000000,-4.182409512524275
544400000,-4.320740566671486
544800000,-4.465918225404065
545200000,-4.617162894354599
545600000,-4.773277656426672
546000000,-4.932562769111321
546400000,-5.092737645198921
546800000,-5.250885642454941
547200000,-5.403442559344702
547600000,-5.546253662450471
548000000,-5.674723400399247
548400000,-5.784073147285826
548800000,-5.869702870979278
549200000,-5.927623737331691
549600000,-5.954897577903939
550000000,-5.949998649598836
550400000,-5.913016239038188
550800000,-5.845648244726695
551200000,-5.750986881793124
551600000,-5.633148277797638
552000000,-5.496828350996882
552400000,-5.346869427828876
552800000,-5.187900810435494
553200000,-5.024085141281322
553600000,-4.858973622615518
554000000,-4.695453980219508
554400000,-4.535766550378241
554800000,-4.381563437348591
555200000,-4.233989775101188
555600000,-4.093771789314514
556000000,-3.961301776376658
556400000,-3.836714468808114
556800000,-3.719952359130818
557200000,-3.610819551911603
557600000,-3.509024865912614
558000000,-3.414215474561355
558400000,-3.326002564530164
558800000,-3.243980477206509
559200000,-3.167740630902449
559600000,-3.096881386335487
560000000,-3.031014776654476
