db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) Y
540000000,-5.313027956777798
540200000,-5.392810761811289
540400000,-5.475799623539532
540600000,-5.562148559998565
540800000,-5.652019042915305
541000000,-5.745580197095157
541200000,-5.843008960832453
541400000,-5.944490194041601
541600000,-6.050216717587694
541800000,-6.160389263317771
542000000,-6.275216319240442
542200000,-6.394913781964071
542400000,-6.51970451250979
542600000,-6.649817574961341
542800000,-6.785487222432645
543000000,-6.926951509275514
543200000,-7.074450446402222
543400000,-7.228223587796374
543600000,-7.388506910367559
543800000,-7.555528817750263
544000000,-7.729505060496514
544200000,-7.910632319465929
544400000,-8.099080145347346
544600000,-8.294980884971629
544800000,-8.498417155186687
545000000,-8.709406350200299
545200000,-8.927881594165502
545400000,-9.153668488109739
545600000,-9.386456967587524
545800000,-9.625767614746636
546000000,-9.870911902331509
546200000,-10.12094615577386
546400000,-10.37461959736737
546600000,-10.63031780399854
546800000,-10.88600440225329
547000000,-11.13916595883802
547200000,-11.38676782950784
547400000,-11.62523202931045
547600000,-11.85045143307937
547800000,-12.05785672170134
548000000,-12.24255178306853
548200000,-12.39952776629042
548400000,-12.52395416705992
548600000,-12.61152749188902
548800000,-12.6588376373087
549000000,-12.66369587309763
549200000,-12.62536424575181
549400000,-12.54463944837356
549600000,-12.4237730092265
549800000,-12.26624487566243
550000000,-12.07643665622473
550200000,-11.85926458149605
550400000,-11.61982867234523
550600000,-11.3631186233907
550800000,-11.09379650851027
551000000,-10.81605842649831
551200000,-10.53356516958912
551400000,-10.24942629903436
551600000,-9.96622117895914
551800000,-9.686042561933807
552000000,-9.410551546704331
552200000,-9.141036035245882
552400000,-8.878467639996504
552600000,-8.623554146932191
552800000,-8.3767861508591
553000000,-8.138477461351567
553200000,-7.908799466368441
553400000,-7.687809956853259
553600000,-7.475477054763298
553800000,-7.271698917978384
554000000,-7.076319865444938
554200000,-6.889143505167966
554400000,-6.70994337503739
554600000,-6.538471532817892
554800000,-6.37446546277174
555000000,-6.217653604981147
555200000,-6.067759760331444
555400000,-5.924506579116187
555600000,-5.787618303626305
555800000,-5.656822903984331
556000000,-5.531853720921375
556200000,-5.412450708293859
556400000,-5.298361351076403
556600000,-5.189341320686474
556800000,-5.085154918184803
557000000,-4.985575346697572
557200000,-4.89038484690025
557400000,-4.799374723290157
557600000,-4.712345283970318
557800000,-4.629105712575371
558000000,-4.549473887613707
558200000,-4.473276161740695
558400000,-4.400347111207818
558600000,-4.330529263858232
558800000,-4.263672812494791
559000000,-4.199635319165401
559200000,-4.138281414853254
559400000,-4.079482498181165
559600000,-4.023116436012777
559800000,-3.969067268231369
560000000,-3.91722491847736
