db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=40/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=40/psf" ?result "psp")) Y
540000000,-6.10299025510961
540200000,-6.209543782444532
540400000,-6.320131856799906
540600000,-6.434941353214255
540800000,-6.554168846754217
541000000,-6.67802110899045
541200000,-6.806715616040294
541400000,-6.940481063478182
541600000,-7.079557881523673
541800000,-7.224198732731447
542000000,-7.374669029558137
542200000,-7.531247336326022
542400000,-7.694225784584332
542600000,-7.863910363436801
542800000,-8.040621086730985
543000000,-8.224691977836953
543200000,-8.416470802324135
543400000,-8.616318456335652
543600000,-8.824607888771228
543800000,-9.041722396193233
544000000,-9.268053077628684
544200000,-9.503995168180756
544400000,-9.749942880423559
544600000,-10.0062822643693
544800000,-10.27338144213165
545000000,-10.55157737237148
545200000,-10.84115804088415
545400000,-11.14233864579326
545600000,-11.45522993981931
545800000,-11.77979640750868
546000000,-12.11580141142231
546200000,-12.46273589762388
546400000,-12.81972684245149
546600000,-13.18542161630315
546800000,-13.55784531653245
547000000,-13.93423067494786
547200000,-14.31082556287554
547400000,-14.68269292060059
547600000,-15.04353355049167
547800000,-15.38558375348251
548000000,-15.69966374693263
548200000,-15.97546892777361
548400000,-16.20218575743935
548600000,-16.36945549576012
548800000,-16.46859391141587
549000000,-16.49383275449869
549200000,-16.44325374932495
549400000,-16.31912037499842
549600000,-16.12749425753286
549800000,-15.87726655780888
550000000,-15.57890711366523
550200000,-15.24325716170634
550400000,-14.88058978435648
550600000,-14.50001981280093
550800000,-14.10923360079542
551000000,-13.71445471576186
551200000,-13.32055404777302
551400000,-12.93123008695884
551600000,-12.54920914974118
551800000,-12.17643649187637
552000000,-11.81424439570371
552200000,-11.46349274164502
552400000,-11.12468272875744
552600000,-10.7980468018337
552800000,-10.48361863019582
553000000,-10.18128693366741
553200000,-9.890836525511634
553400000,-9.611979394910414
553600000,-9.344378110633521
553800000,-9.087663348477088
554000000,-8.841446945058291
554200000,-8.605331558227407
554400000,-8.378917760427546
554600000,-8.161809194225265
554800000,-7.95361626774663
555000000,-7.753958752077721
555200000,-7.562467554722186
555400000,-7.378785876502237
555600000,-7.202569908759267
555800000,-7.033489189476027
556000000,-6.871226707999881
556200000,-6.715478826147478
556400000,-6.565955066875286
556600000,-6.422377809139954
556800000,-6.284481918032596
557000000,-6.152014332051834
557200000,-6.024733623884803
557400000,-5.902409546909231
557600000,-5.784822576464176
557800000,-5.671763452538898
558000000,-5.563032728712574
558200000,-5.458440330797658
558400000,-5.357805127599161
558600000,-5.260954515413885
558800000,-5.167724017305487
559000000,-5.077956897744318
559200000,-4.991503792873885
559400000,-4.908222356421113
559600000,-4.827976921087414
559800000,-4.750638175131868
560000000,-4.676082853762941
