db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) Y
1000,3.126452385267935
100990,3.124578374506828
200980,3.122324932574159
300970,3.119692650071789
400960,3.116682216005891
500950,3.113294417186606
600940,3.109530137545445
700930,3.105390357370126
800920,3.100876158691839
900910,3.09598870120993
1000900,3.090729253562623
1100890,3.085099172217345
1200880,3.079099904991922
1300870,3.072732989829455
1400860,3.066000053503957
1500850,3.058902810258359
1600840,3.051443060377172
1700830,3.043622688696779
1800820,3.035443663055124
1900810,3.02690803268417
2000800,3.018017926546995
2100790,3.00877555162343
2200780,2.999183191145629
2300770,2.989243202787768
2400760,2.97895801681135
2500750,2.968330134170633
2600740,2.957362124580079
2700730,2.946056624546615
2800720,2.934416335370517
2900710,2.922444021117889
3000700,2.910142506566315
3100690,2.897514675128636
3200680,2.884563466756267
3300670,2.87129187582601
3400660,2.85770294901266
3500650,2.84379978315032
3600640,2.829585523085512
3700630,2.815063359525008
3800620,2.800236526880499
3900610,2.785108301113257
4000600,2.769681997581426
4100590,2.753960968892199
4200580,2.737948602761623
4300570,2.721648319884395
4400560,2.705063571815531
4500550,2.68819783886749
4600540,2.671054628022583
4700530,2.653637470865813
4800520,2.635949921536941
4900510,2.617995554706475
5000500,2.599777963575447
5100490,2.581300757901698
5200480,2.562567562053842
5300470,2.543582013095249
5400460,2.524347758898133
5500450,2.50486845629057
5600440,2.485147769236846
5700430,2.465189367051827
5800420,2.44499692265242
5900410,2.424574110844875
6000400,2.403924606650297
6100390,2.383052083668078
6200380,2.361960212479265
6300370,2.340652659089566
6400360,2.319133083412663
6500350,2.297405137795124
6600340,2.275472465581716
6700330,2.253338699723465
6800320,2.231007461426594
6900310,2.208482358845449
7000300,2.185766985815016
7100290,2.162864920628481
7200280,2.139779724855412
7300270,2.116514942202759
7400260,2.09307409741808
7500250,2.069460695234323
7600240,2.045678219356635
7700230,2.021730131490546
7800220,1.997619870411073
7900210,1.973350851072538
8000200,1.948926463758559
8100190,1.924350073272239
8200180,1.899625018164698
8300170,1.874754610003774
8400160,1.84974213267905
8500150,1.824590841746445
8600140,1.799303963807553
8700130,1.773884695927729
8800120,1.748336205087237
8900110,1.722661627669147
9000100,1.696864068980582
9100090,1.670946602807668
9200080,1.644912271002668
9300070,1.618764083104123
9400060,1.592505015986789
9500050,1.566138013543121
9600040,1.539665986393705
9700030,1.513091811626698
9800020,1.486418332565065
9900010,1.459648358561765
10000000,1.432784664820078
