db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/psf" ?result "psp")) Y
540000000,-17.8739800819424
540100000,-17.93130728589812
540200000,-17.98831125338247
540300000,-18.04496325443802
540400000,-18.10123365826273
540500000,-18.15709193505657
540600000,-18.21250666076883
540700000,-18.26744552497442
540800000,-18.32187534211933
540900000,-18.37576206636771
541000000,-18.4290708102918
541100000,-18.48176586762899
541200000,-18.53381074034923
541300000,-18.58516817023631
541400000,-18.63580017520092
541500000,-18.6856680905199
541600000,-18.73473261517272
541700000,-18.7829538634339
541800000,-18.83029142184949
541900000,-18.8767044116974
542000000,-18.9221515569966
542100000,-18.96659125809506
542200000,-19.00998167082319
542300000,-19.05228079115353
542400000,-19.09344654526023
542500000,-19.13343688481607
542600000,-19.17220988731327
542700000,-19.20972386113026
542800000,-19.24593745501599
542900000,-19.28080977158924
543000000,-19.31430048440157
543100000,-19.34636995803952
543200000,-19.37697937069173
543300000,-19.40609083854079
543400000,-19.43366754129072
543500000,-19.45967384808809
543600000,-19.4840754430509
543700000,-19.50683944958577
543800000,-19.52793455263526
543900000,-19.54733111798958
544000000,-19.5650013077689
544100000,-19.58091919119468
544200000,-19.59506084977568
544300000,-19.60740447604472
544400000,-19.61793046502851
544500000,-19.6266214976656
544600000,-19.63346261545355
544700000,-19.63844128565023
544800000,-19.64154745646077
544900000,-19.6427736016932
545000000,-19.64211475448202
545100000,-19.63956852976093
545200000,-19.63513513527986
545300000,-19.62881737106085
545400000,-19.6206206172983
545500000,-19.61055281081697
545600000,-19.59862441030637
545700000,-19.58484835065125
545800000,-19.56923998678469
545900000,-19.55181702756232
546000000,-19.53259946026091
546100000,-19.51160946862258
546200000,-19.48887133176765
546300000,-19.4644113379492
546400000,-19.43825767016386
546500000,-19.41044029701608
546600000,-19.38099085682212
546700000,-19.34994253797409
546800000,-19.31732995644272
546900000,-19.28318903129569
547000000,-19.24755685907591
547100000,-19.2104715878666
547200000,-19.1719722918175
547300000,-19.13209884687443
547400000,-19.09089180839306
547500000,-19.04839229127565
547600000,-19.00464185319365
547700000,-18.95968238142472
547800000,-18.91355598373925
547900000,-18.86630488373903
548000000,-18.81797132097099
548100000,-18.76859745608574
548200000,-18.71822528125173
548300000,-18.66689653598103
548400000,-18.61465262846906
548500000,-18.56153456250405
548600000,-18.50758286995103
548700000,-18.45283754878537
548800000,-18.397338006597
548900000,-18.34112300947375
549000000,-18.28423063612141
549100000,-18.22669823707184
549200000,-18.16856239879704
549300000,-18.10985891253324
549400000,-18.05062274760888
549500000,-17.99088802905167
549600000,-17.93068801924756
549700000,-17.87005510342041
549800000,-17.80902077868981
549900000,-17.74761564647931
550000000,-17.68586940802916
550100000,-17.62381086279007
550200000,-17.56146790946718
550300000,-17.49886754949112
550400000,-17.43603589270631
550500000,-17.3729981650671
550600000,-17.30977871814223
550700000,-17.24640104024585
550800000,-17.18288776900735
550900000,-17.11926070521687
551000000,-17.0555408277843
551100000,-16.99174830966172
551200000,-16.92790253459023
551300000,-16.86402211454184
551400000,-16.80012490773078
551500000,-16.73622803708832
551600000,-16.67234790909611
551700000,-16.60850023287896
551800000,-16.54470003947948
551900000,-16.48096170122765
552000000,-16.41729895113846
552100000,-16.35372490227438
552200000,-16.29025206700913
552300000,-16.2268923761486
552400000,-16.16365719785762
552500000,-16.1005573563529
552600000,-16.03760315033126
552700000,-15.97480437109389
552800000,-15.91217032034802
552900000,-15.84970982765863
553000000,-15.78743126753282
553100000,-15.72534257612018
553200000,-15.66345126751764
553300000,-15.60176444966508
553400000,-15.54028883983261
553500000,-15.47903077968222
553600000,-15.41799624991095
553700000,-15.35719088446758
553800000,-15.29661998434787
553900000,-15.23628853096365
554000000,-15.17620119909697
554100000,-15.11636236943461
554200000,-15.05677614069437
554300000,-14.99744634134566
554400000,-14.93837654093229
554500000,-14.87957006100333
554600000,-14.82102998566275
554700000,-14.76275917174091
554800000,-14.70476025860286
554900000,-14.64703567759523
555000000,-14.5895876611479
555100000,-14.53241825153363
555200000,-14.47552930929946
555300000,-14.41892252137519
555400000,-14.36259940887284
555500000,-14.30656133458196
555600000,-14.25080951017488
555700000,-14.19534500312591
555800000,-14.14016874335864
555900000,-14.08528152962768
556000000,-14.03068403564375
556100000,-13.97637681595197
556200000,-13.92236031157172
556300000,-13.86863485540525
556400000,-13.81520067742583
556500000,-13.76205790965109
556600000,-13.70920659090943
556700000,-13.65664667141003
556800000,-13.60437801711982
556900000,-13.55240041395819
557000000,-13.50071357181327
557100000,-13.44931712839013
557200000,-13.39821065289391
557300000,-13.34739364955649
557400000,-13.29686556101285
557500000,-13.24662577153115
557600000,-13.19667361010516
557700000,-13.14700835341207
557800000,-13.09762922864207
557900000,-13.04853541620579
558000000,-12.99972605232221
558100000,-12.95120023149459
558200000,-12.90295700887722
558300000,-12.85499540253808
558400000,-12.80731439562121
558500000,-12.75991293841415
558600000,-12.7127899503226
558700000,-12.66594432175817
558800000,-12.61937491594107
558900000,-12.57308057062194
559000000,-12.52706009972719
559100000,-12.48131229492935
559200000,-12.43583592714644
559300000,-12.39062974797405
559400000,-12.34569249105165
559500000,-12.3010228733665
559600000,-12.25661959649843
559700000,-12.2124813478069
559800000,-12.16860680156353
559900000,-12.12499462003219
560000000,-12.08164345449905
