db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/psf" ?result "psp")) Y
540000000,-9.622539982756305
540100000,-9.628894160530825
540200000,-9.635086528071803
540300000,-9.641114088678492
540400000,-9.646973854752005
540500000,-9.652662849781784
540600000,-9.658178110370315
540700000,-9.663516688293829
540800000,-9.668675652600131
540900000,-9.67365209173639
541000000,-9.678443115711179
541100000,-9.68304585828291
541200000,-9.687457479177318
541300000,-9.691675166327155
541400000,-9.695696138135927
541500000,-9.699517645759414
541600000,-9.703136975404529
541700000,-9.706551450642614
541800000,-9.709758434732263
541900000,-9.712755332951685
542000000,-9.715539594934725
542100000,-9.718108717009571
542200000,-9.720460244534483
542300000,-9.722591774230503
542400000,-9.724500956503501
542500000,-9.726185497755859
542600000,-9.727643162682483
542700000,-9.728871776546937
542800000,-9.729869227435255
542900000,-9.730633468483461
543000000,-9.731162520074621
543100000,-9.731454472001966
543200000,-9.731507485594088
543300000,-9.731319795799257
543400000,-9.730889713223531
543500000,-9.730215626121172
543600000,-9.729296002331118
543700000,-9.728129391157928
543800000,-9.726714425193057
543900000,-9.725049822268346
544000000,-9.723134386369798
544100000,-9.720967010408385
544200000,-9.718546677009885
544300000,-9.715872460170644
544400000,-9.712943526647688
544500000,-9.709759137266111
544600000,-9.706318648140455
544700000,-9.702621511807887
544800000,-9.698667278270074
544900000,-9.694455595942715
545000000,-9.689986212509647
545100000,-9.685258975677671
545200000,-9.680273833835267
545300000,-9.675030836607757
545400000,-9.669530135310708
545500000,-9.663771983301068
545600000,-9.657756736221504
545700000,-9.651484852141586
545800000,-9.644956891589908
545900000,-9.638173517482958
546000000,-9.63113549494404
546100000,-9.623843691018685
546200000,-9.616299074279917
546300000,-9.608502714331419
546400000,-9.600455781201561
546500000,-9.592159544636022
546600000,-9.583615373284855
546700000,-9.574824733788818
546800000,-9.565789189764448
546900000,-9.556510400690495
547000000,-9.546990120697334
547100000,-9.537230197261522
547200000,-9.527232569808053
547300000,-9.516999268221946
547400000,-9.506532411272492
547500000,-9.495834204953088
547600000,-9.484906940738956
547700000,-9.47375299376635
547800000,-9.462374820935644
547900000,-9.4507749589425
548000000,-9.438956022241129
548100000,-9.426920700940645
548200000,-9.414671758640758
548300000,-9.402212030209824
548400000,-9.389544419507555
548500000,-9.376671897058866
548600000,-9.363597497680372
548700000,-9.35032431806389
548800000,-9.336855514323121
548900000,-9.32319429950363
549000000,-9.309343941063652
549100000,-9.295307758327812
549200000,-9.281089119917768
549300000,-9.26669144116407
549400000,-9.252118181504132
549500000,-9.2373728418679
549600000,-9.222458962056034
549700000,-9.207380118116866
549800000,-9.192139919720038
549900000,-9.176742007537356
550000000,-9.161190050628164
550100000,-9.145487743837004
550200000,-9.129638805205179
550300000,-9.113646973398154
550400000,-9.097516005155944
550500000,-9.081249672764217
550600000,-9.064851761553573
550700000,-9.048326067426979
550800000,-9.031676394419517
550900000,-9.014906552291883
551000000,-8.998020354161556
551100000,-8.981021614171743
551200000,-8.963914145202681
551300000,-8.946701756625391
551400000,-8.929388252101004
551500000,-8.911977427426381
551600000,-8.89447306842934
551700000,-8.876878948912806
551800000,-8.859198828650767
551900000,-8.841436451437369
552000000,-8.823595543188738
552100000,-8.805679810100758
552200000,-8.787692936862243
552300000,-8.769638584923108
552400000,-8.75152039082211
552500000,-8.733341964570416
552600000,-8.715106888093038
552700000,-8.696818713730218
552800000,-8.678480962795373
552900000,-8.660097124193342
553000000,-8.641670653095812
553100000,-8.623204969676822
553200000,-8.604703457904888
553300000,-8.586169464394715
553400000,-8.567606297316111
553500000,-8.549017225359894
553600000,-8.530405476761192
553700000,-8.511774238378495
553800000,-8.493126654829112
553900000,-8.474465827678344
554000000,-8.45579481468417
554100000,-8.4371166290946
554200000,-8.418434238996708
554300000,-8.399750566719522
554400000,-8.381068488285496
554500000,-8.362390832912231
554600000,-8.343720382563479
554700000,-8.325059871519411
554800000,-8.306411986130893
554900000,-8.287779364345766
555000000,-8.26916459555221
555100000,-8.250570220328395
555200000,-8.23199873026253
555300000,-8.213452567812288
555400000,-8.194934126205236
555500000,-8.176445749376132
555600000,-8.15798973194296
555700000,-8.139568319217641
555800000,-8.121183707252062
555900000,-8.102838042917748
556000000,-8.084533424017595
556100000,-8.066271899428989
556200000,-8.048055469276612
556300000,-8.029886085134063
556400000,-8.011765650253416
556500000,-7.993696019820931
556600000,-7.975679001237678
556700000,-7.957716354425351
556800000,-7.939809792153525
556900000,-7.921960980390612
557000000,-7.904171538674261
557100000,-7.886443040502323
557200000,-7.868777013741748
557300000,-7.851174941056705
557400000,-7.833638260351078
557500000,-7.816168365228924
557600000,-7.798766605468436
557700000,-7.781434287509555
557800000,-7.764172674955592
557900000,-7.746982989085449
558000000,-7.729866409377887
558100000,-7.71282407404588
558200000,-7.695857080580137
558300000,-7.678966486301436
558400000,-7.662153308920687
558500000,-7.645418527106594
558600000,-7.628763081058738
558700000,-7.612187873087536
558800000,-7.595693768197831
558900000,-7.579281594678178
559000000,-7.56295214469257
559100000,-7.546706174876004
559200000,-7.530544406932373
559300000,-7.514467528234286
559400000,-7.498476192423698
559500000,-7.482571020014486
559600000,-7.466752598994033
559700000,-7.45102148542569
559800000,-7.435378204050345
559900000,-7.419823248886219
560000000,-7.40435708382847
