db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) Y
540000000,-6.113831195010841
540200000,-6.222192100649479
540400000,-6.334665600955987
540600000,-6.451444187231799
540800000,-6.572730667201389
541000000,-6.698738747688305
541200000,-6.829693642593063
541400000,-6.965832703861237
541600000,-7.107406071676606
541800000,-7.25467732616281
542000000,-7.407924200798783
542200000,-7.567439181828539
542400000,-7.733530185487041
542600000,-7.906521140231757
542800000,-8.086752499387478
543000000,-8.2745816316408
543200000,-8.470383030469247
543400000,-8.674548262809195
543600000,-8.887485549402802
543800000,-9.109618831857558
544000000,-9.341386131219807
544200000,-9.5832369353872
544400000,-9.83562826205937
544600000,-10.09901892232452
544800000,-10.37386134715445
545000000,-10.66059012184688
545200000,-10.95960608537313
545400000,-11.27125447318074
545600000,-11.5957950921845
545800000,-11.93336189707962
546000000,-12.2839085816048
546200000,-12.64713593294677
546400000,-13.02239581785167
546600000,-13.40856600798822
546800000,-13.80389009103842
547000000,-14.20577834821587
547200000,-14.61057021972275
547400000,-15.01326908961027
547600000,-15.40727839015073
547800000,-15.78419656857171
548000000,-16.13376563294226
548200000,-16.44410296080624
548400000,-16.70235315234705
548600000,-16.89583759327281
548800000,-17.01362556044403
549000000,-17.04822822776874
549200000,-16.9969378261496
549400000,-16.86234918650475
549600000,-16.6518661807912
549800000,-16.37638009925103
550000000,-16.0485784334194
550200000,-15.68136473418935
550400000,-15.28669467900159
550600000,-14.87491028832313
550800000,-14.45449767846572
551000000,-14.03213215209853
551200000,-13.61288018761541
551400000,-13.2004624907538
551600000,-12.79751959324076
551800000,-12.40585032604907
552000000,-12.02661203760721
552200000,-11.660481731755
552400000,-11.30778215995421
552600000,-10.96857860106931
552800000,-10.6427521316302
553000000,-10.33005454016477
553200000,-10.03014916156327
553400000,-9.742641039699651
553600000,-9.46709906721895
553800000,-9.203072127860297
554000000,-8.950100773391878
554200000,-8.707725585960855
554400000,-8.475493086350435
554600000,-8.252959829711905
554800000,-8.039695166268126
555000000,-7.835283021986701
555200000,-7.639322962964251
555400000,-7.451430739358904
555600000,-7.271238454185061
555800000,-7.098394464715034
556000000,-6.932563096253622
556200000,-6.77342422723785
556400000,-6.620672789099319
556600000,-6.474018212779539
556800000,-6.333183845175498
557000000,-6.197906352391037
557200000,-6.067935121894004
557400000,-5.943031672144151
557600000,-5.82296907562542
557800000,-5.707531399277391
558000000,-5.596513164893277
558200000,-5.48971883100408
558400000,-5.386962297011939
558600000,-5.288066429786768
558800000,-5.192862612555763
559000000,-5.101190315643562
559200000,-5.012896688440405
559400000,-4.927836171855913
559600000,-4.84587013044506
559800000,-4.766866503356856
560000000,-4.69069947324004
