db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic -1)))) Y
1000,4.638773399453935
100990,4.635636663977244
200980,4.631705385276383
300970,4.626981720612219
400960,4.621468256141081
500950,4.615168002215145
600940,4.60808438793782
700930,4.600221254991784
800920,4.591582860842477
900910,4.58217383375623
1000900,4.57199921677431
1100890,4.561064426508251
1200880,4.54937525128426
1300870,4.536937841177565
1400860,4.523758697527765
1500850,4.50984466197073
1600840,4.495202905025233
1700830,4.479840914272667
1800820,4.463766482168293
1900810,4.446987693524449
2000800,4.429512912704679
2100790,4.411350770569996
2200780,4.392510151214995
2300770,4.373000178535523
2400760,4.35283020266522
2500750,4.332009786320108
2600740,4.310548691087445
2700730,4.288456863697842
2800720,4.2657444223124
2900710,4.242421642862099
3000700,4.218498945470792
3100690,4.193986880992569
3200680,4.168896117694925
3300670,4.143237428114007
3400660,4.117021676109763
3500650,4.090259804145065
3600640,4.062962820812015
3700630,4.035141788626596
3800620,4.006807812111444
3900610,3.977972026183705
4000600,3.948645584864658
4100590,3.918839650324377
4200580,3.888565382274672
4300570,3.85783392772101
4400560,3.826656411080797
4500550,3.795043924678291
4600540,3.763007519619915
4700530,3.730558197054235
4800520,3.697706899822228
4900510,3.664464504496184
5000500,3.630841813809069
5100490,3.596849549474768
5200480,3.562498345394668
5300470,3.527798741250018
5400460,3.492761176473844
5500450,3.457395984599667
5600440,3.421713387979136
5700430,3.385723492863649
5800420,3.349436284842733
5900410,3.31286162462947
6000400,3.276009244186929
6100390,3.23888874318613
6200380,3.201509585784619
6300370,3.163881097718697
6400360,3.126012463697135
6500350,3.087912725087727
6600340,3.049590777884758
6700330,3.011055370949214
6800320,2.972315104508586
6900310,2.933378428907289
7000300,2.894253643596691
7100290,2.85494889635351
7200280,2.815472182717351
7300270,2.775831345635181
7400260,2.736034075303981
7500250,2.696087909200047
7600240,2.656000232286409
7700230,2.615778277386934
7800220,2.575429125718682
7900210,2.534959707571909
8000200,2.494376803130733
8100190,2.453687043422461
8200180,2.412896911389553
8300170,2.372012743074605
8400160,2.331040728910514
8500150,2.289986915107831
8600140,2.248857205131739
8700130,2.20765736126185
8800120,2.16639300622709
8900110,2.125069624909595
9000100,2.083692566111084
9100090,2.04226704437467
9200080,2.000798141858354
9300070,1.95929081025163
9400060,1.917749872732962
9500050,1.876180025960318
9600040,1.834585842092881
9700030,1.79297177083576
9800020,1.751342141506868
9900010,1.70970116511987
10000000,1.66805293648013
