db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "psp")) Y
540000000,-6.217829638460292
540200000,-6.336251586821424
540400000,-6.459190797952134
540600000,-6.586868705866397
540800000,-6.719520405509027
541000000,-6.857395733087537
541200000,-7.000760456497149
541400000,-7.149897580189252
541600000,-7.305108833078263
541800000,-7.466716232903617
542000000,-7.635063903445203
542200000,-7.810520057303114
542400000,-7.993479211966859
542600000,-8.184364662024793
542800000,-8.383631240484544
543000000,-8.591768405822201
543200000,-8.809303694926678
543400000,-9.036806585144394
543600000,-9.274892810549764
543800000,-9.524229177327701
544000000,-9.785538919095714
544200000,-10.05960762247813
544400000,-10.34728973203984
544600000,-10.64951560510126
544800000,-10.9672990203022
545000000,-11.30174493201458
545200000,-11.65405707850142
545400000,-12.02554475109705
545600000,-12.41762754350783
545800000,-12.83183610906867
546000000,-13.26980567116787
546200000,-13.73325695099944
546400000,-14.22395579815477
546600000,-14.74363733029483
546800000,-15.29387154724277
547000000,-15.8758332994679
547200000,-16.48991764861249
547400000,-17.13510962351408
547600000,-17.80797582211832
547800000,-18.50110736024486
548000000,-19.20085844118024
548200000,-19.88442305247195
548400000,-20.51692888309477
548600000,-21.05055366774856
548800000,-21.42922325208502
549000000,-21.60181905102235
549200000,-21.54075922231907
549400000,-21.25442685229432
549600000,-20.78322936033434
549800000,-20.18269915315127
550000000,-19.50633181894136
550200000,-18.79631620677023
550400000,-18.08183726852761
550600000,-17.38122591666102
550800000,-16.70502459537577
551000000,-16.0586453927942
551200000,-15.44430200916773
551400000,-14.86229809652533
551600000,-14.31184663069625
551800000,-13.7915761100903
552000000,-13.29983666977856
552200000,-12.83488137467891
552400000,-12.39497071521333
552600000,-11.97843030575385
552800000,-11.58368033164695
553000000,-11.20924815080436
553200000,-10.85377104388708
553400000,-10.5159933888302
553600000,-10.19476086086662
553800000,-9.889013226625469
554000000,-9.597776663746032
554200000,-9.320156144588886
554400000,-9.055328181142162
554600000,-8.802534080821701
554800000,-8.561073774045475
555000000,-8.330300222123407
555200000,-8.109614384322851
555400000,-7.898460707297181
555600000,-7.696323092925869
555800000,-7.502721298618633
556000000,-7.317207725094703
556200000,-7.139364549258193
556400000,-6.968801163184805
556600000,-6.805151883942926
556800000,-6.64807390266143
557000000,-6.497245444788669
557200000,-6.35236411674614
557400000,-6.213145417152951
557600000,-6.079321393453528
557800000,-5.950639427148684
558000000,-5.826861132915239
558200000,-5.707761358734831
558400000,-5.593127275757531
558600000,-5.482757548027696
558800000,-5.376461573423695
559000000,-5.274058788226792
559200000,-5.175378028664209
559400000,-5.080256943574243
559600000,-4.988541453047281
559800000,-4.900085248505674
560000000,-4.814749330216764
