db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "psp")) Y
540000000,-6.099745744235658
540200000,-6.196643393101464
540400000,-6.297142802060819
540600000,-6.40140006458799
540800000,-6.509577753826377
541000000,-6.621845037957335
541200000,-6.738377651250377
541400000,-6.859357886253293
541600000,-6.984974464013909
541800000,-7.11542230686713
542000000,-7.250902179575681
542200000,-7.391620165364658
542400000,-7.537786935510144
542600000,-7.689616761384485
542800000,-7.847326205822558
543000000,-8.011132415799556
543200000,-8.181250920112999
543400000,-8.357892813280179
543600000,-8.541261179395542
543800000,-8.731546576313892
544000000,-8.928921360329401
544200000,-9.13353258454384
544400000,-9.345493142199036
544600000,-9.564870779790176
544800000,-9.791674505770215
545000000,-10.02583787559714
545200000,-10.26719854896517
545400000,-10.51547347029058
545600000,-10.77022901321111
545800000,-11.03084549653445
546000000,-11.29647567566477
546200000,-11.56599721676352
546400000,-11.83795987337561
546600000,-12.11052923145269
546800000,-12.3814305966904
547000000,-12.64789895418476
547200000,-12.90664389375442
547400000,-13.15384166218461
547600000,-13.38516934453117
547800000,-13.5958972990419
548000000,-13.7810535778613
548200000,-13.93566630881294
548400000,-14.05507598509534
548600000,-14.13529070610551
548800000,-14.17333830812566
549000000,-14.1675573768107
549200000,-14.11777149537722
549400000,-14.0253104366891
549600000,-13.89287371102658
549800000,-13.72426520824176
550000000,-13.52405106137244
550200000,-13.29719973588517
550400000,-13.04875460175786
550600000,-12.78357125888442
550800000,-12.50613233519609
551000000,-12.22043689520018
551200000,-11.92995219660147
551400000,-11.63761188219441
551600000,-11.3458450741961
551800000,-11.05662337302245
552000000,-10.77151600933852
552200000,-10.49174648566178
552400000,-10.21824657217932
552600000,-9.951705395574784
552800000,-9.692612642503358
553000000,-9.441295713709764
553200000,-9.197951138736384
553400000,-8.962670803907294
553600000,-8.735463641278303
553800000,-8.516273432836762
554000000,-8.304993342301133
554200000,-8.101477721877433
554400000,-7.90555166874162
554600000,-7.717018734639058
554800000,-7.535667126380382
555000000,-7.361274677128177
555200000,-7.193612818667012
555400000,-7.032449742958643
555600000,-6.877552906437552
555800000,-6.728691001795978
556000000,-6.585635498503732
556200000,-6.448161834175929
556400000,-6.31605032336024
556600000,-6.189086837736243
556800000,-6.067063301534255
557000000,-5.949778037754938
557200000,-5.837035994109558
557400000,-5.728648872225413
557600000,-5.62443517929423
557800000,-5.524220217812845
558000000,-5.427836026195227
558200000,-5.335121280701928
558400000,-5.245921167234235
558600000,-5.160087229986318
558800000,-5.07747720268317
559000000,-4.997954827088659
559200000,-4.921389662617578
559400000,-4.847656890178442
559600000,-4.776637112797939
559800000,-4.708216155096772
560000000,-4.642284863290872
