db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=40/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=40/psf" ?result "psp")) Y
540000000,-11.78792603224975
540100000,-11.8040847287014
540200000,-11.82000164068898
540300000,-11.83567090751469
540400000,-11.85108666120782
540500000,-11.86624303048561
540600000,-11.88113414483024
540700000,-11.89575413868235
540800000,-11.91009715574355
540900000,-11.92415735338757
541000000,-11.93792890717503
541100000,-11.95140601546706
541200000,-11.96458290413327
541300000,-11.97745383134942
541400000,-11.99001309247907
541500000,-12.00225502503145
541600000,-12.01417401369239
541700000,-12.0257644954191
541800000,-12.037020964592
541900000,-12.04793797821706
542000000,-12.05851016116944
542100000,-12.06873221147166
542200000,-12.07859890559675
542300000,-12.08810510378588
542400000,-12.09724575537648
542500000,-12.10601590412382
542600000,-12.11441069351355
542700000,-12.12242537204982
542800000,-12.13005529851263
542900000,-12.13729594716975
543000000,-12.14414291293864
543100000,-12.1505919164811
543200000,-12.15663880922515
543300000,-12.16227957829956
543400000,-12.16751035137394
543500000,-12.17232740138994
543600000,-12.17672715117454
543700000,-12.18070617792594
543800000,-12.18426121755941
543900000,-12.18738916890335
544000000,-12.19008709773704
544100000,-12.19235224065777
544200000,-12.19418200877022
544300000,-12.19557399091041
544400000,-12.19652595803665
544500000,-12.19703586472361
544600000,-12.19710185309984
544700000,-12.1967222552528
544800000,-12.19589559566531
544900000,-12.19462059341742
545000000,-12.19289616414848
545100000,-12.19072142177305
545200000,-12.18809567994754
545300000,-12.18501845328229
545400000,-12.18148945829573
545500000,-12.17750861410932
545600000,-12.17307604287968
545700000,-12.16819206996694
545800000,-12.16285722383972
545900000,-12.15707223571588
546000000,-12.1508380389398
546100000,-12.14415576809792
546200000,-12.13702675787595
546300000,-12.12945254165699
546400000,-12.12143484987059
546500000,-12.11297560808862
546600000,-12.10407693488012
546700000,-12.09474113942691
546800000,-12.08497071890592
546900000,-12.07476835564738
547000000,-12.06413691407272
547100000,-12.05307943742235
547200000,-12.04159914428036
547300000,-12.02969942490541
547400000,-12.01738383737479
547500000,-12.00465610355485
547600000,-11.9915201049028
547700000,-11.9779798781142
547800000,-11.96403961062202
547900000,-11.94970363596236
548000000,-11.93497642901305
548100000,-11.91986260111925
548200000,-11.90436689511371
548300000,-11.88849418024619
548400000,-11.87224944702899
548500000,-11.85563780201299
548600000,-11.83866446250207
548700000,-11.82133475121796
548800000,-11.80365409092804
548900000,-11.78562799904092
549000000,-11.76726208218625
549100000,-11.74856203078524
549200000,-11.72953361362211
549300000,-11.71018267242656
549400000,-11.69051511647642
549500000,-11.67053691722829
549600000,-11.6502541029868
549700000,-11.62967275361856
549800000,-11.60879899531939
549900000,-11.58763899544394
550000000,-11.56619895740176
550100000,-11.54448511562867
550200000,-11.52250373063941
550300000,-11.50026108416779
550400000,-11.47776347439819
550500000,-11.45501721129523
550600000,-11.43202861203673
550700000,-11.40880399655189
550800000,-11.38534968317074
550900000,-11.3616719843882
551000000,-11.33777720274358
551100000,-11.31367162682297
551200000,-11.289361527381
551300000,-11.26485315358929
551400000,-11.24015272940922
551500000,-11.21526645009308
551600000,-11.19020047881389
551700000,-11.16496094342338
551800000,-11.13955393334006
551900000,-11.11398549656627
552000000,-11.08826163683584
552100000,-11.06238831088887
552200000,-11.03637142587686
552300000,-11.01021683689275
552400000,-10.98393034462982
552500000,-10.95751769316345
552600000,-10.93098456785605
552700000,-10.90433659338595
552800000,-10.877579331893
552900000,-10.85071828124388
553000000,-10.82375887341255
553100000,-10.79670647297238
553200000,-10.76956637570189
553300000,-10.74234380729606
553400000,-10.71504392218558
553500000,-10.68767180245744
553600000,-10.66023245687712
553700000,-10.63273082000717
553800000,-10.60517175142182
553900000,-10.57756003501211
554000000,-10.54990037838171
554100000,-10.52219741232613
554200000,-10.49445569039793
554300000,-10.46667968855063
554400000,-10.43887380485952
554500000,-10.41104235931789
554600000,-10.38318959370427
554700000,-10.35531967151822
554800000,-10.32743667798183
554900000,-10.29954462010434
555000000,-10.27164742680702
555100000,-10.24374894910519
555200000,-10.21585296034552
555300000,-10.18796315649444
555400000,-10.16008315647755
555500000,-10.13221650256433
555600000,-10.10436666079944
555700000,-10.07653702147356
555800000,-10.0487308996367
555900000,-10.02095153564659
556000000,-9.993202095753658
556100000,-9.965485672718868
556200000,-9.937805286461824
556300000,-9.910163884738248
556400000,-9.882564343844475
556500000,-9.85500946934641
556600000,-9.827501996831902
556700000,-9.800044592684342
556800000,-9.772639854875543
556900000,-9.745290313777396
557000000,-9.717998432989052
557100000,-9.69076661017834
557200000,-9.663597177938328
557300000,-9.636492404653804
557400000,-9.609454495379291
557500000,-9.582485592726261
557600000,-9.555587777757443
557700000,-9.52876307088874
557800000,-9.502013432796957
557900000,-9.475340765330913
558000000,-9.448746912426753
558100000,-9.422233661026437
558200000,-9.395802741996063
558300000,-9.369455831046643
558400000,-9.343194549653598
558500000,-9.317020465975908
558600000,-9.290935095772868
558700000,-9.264939903318774
558800000,-9.239036302315673
558900000,-9.213225656799562
559000000,-9.18750928204528
559100000,-9.161888445464683
559200000,-9.136364367499631
559300000,-9.110938222510001
559400000,-9.085611139653784
559500000,-9.060384203762325
559600000,-9.035258456206426
559700000,-9.010234895756369
559800000,-8.985314479432727
559900000,-8.960498123350851
560000000,-8.935786703554442
